BUILDING ADDRESS,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),ENERGY STAR SCORE,GROSS BUILDING FLOOR AREA (ft²),PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),TOTAL WATER USE (kgal),YEAR BUILT
5500 S FIGUEROA ST,138.1,15,44769.0,Multifamily Housing,54.7,2859.8,2001.0
5650 FAIR AVE,65.9,88,31030.0,Multifamily Housing,38.4,1.6,2010.0
4715 S ALAMEDA ST,64.1,Not Available,65000.0,Manufacturing/Industrial Plant,16.3,244.3,2007.0
1615 N MARTEL AVE,33.5,100,27777.0,Multifamily Housing,20.0,837.1,1961.0
1625 STONER AVE,24.2,100,30095.0,Multifamily Housing,13.8,1303.9,1960.0
6801 HOLLYWOOD BLVD,1344.2,Not Available,462117.0,Lifestyle Center,48.1,24933.6,2001.0
1762 WESTWOOD BLVD,74.3,76,36065.0,Office,34.0,531.1,1985.0
9130 S FIGUEROA ST,65.5,62,30214.0,Multifamily Housing,34.8,1201.4,1998.0
9344 NATIONAL BLVD,47.2,56,24000.0,Multifamily Housing,32.3,692.7,1971.0
6818 VARIEL AVE,68.6,85,34246.0,Multifamily Housing,28.6,1757.2,1988.0
6251 RESEDA BLVD,72.8,88,41944.0,Multifamily Housing,29.0,2311.5,1960.0
1441 E 16TH ST,26.1,90,55611.0,Non-Refrigerated Warehouse,6.6,292.5,1968.0
1247 INGRAHAM ST,51.7,95,20588.0,Multifamily Housing,45.9,2241.9,1929.0
18550 CITRONIA ST,183,46,62437.0,Multifamily Housing,49.3,3885.4,1971.0
13838 VICTORY BLVD,104.7,40,21336.0,Multifamily Housing,87.4,1909.8,1960.0
1603 W WATERMAN DR,115.9,Not Available,10443.0,Other - Services,199.4,6286.9,1973.0
679 S ANDERSON ST,16.5,87,47490.0,Mixed Use Property,5.7,65.8,1965.0
232 UNION PL,67.5,96,37446.0,Multifamily Housing,30.7,3.4,1915.0
13335 SATICOY ST,44.7,Not Available,36000.0,Other,18.7,196.7,1972.0
801 S FLOWER ST,119.3,40,32000.0,Office,56.3,589.5,1963.0
5555 HOLLYWOOD BLVD,219.4,100,121379.0,Multifamily Housing,31.8,4917.7,2013.0
500 S WESTMORELAND AVE,150,24,46144.0,Multifamily Housing,57.7,2.5,1926.0
3735 BAGLEY AVE,43.1,96,31665.0,Multifamily Housing,21.1,1230.5,1990.0
17720 W MAGNOLIA BLVD,132.5,78,56466.0,Multifamily Housing,38.1,1656.7,2015.0
8065 EMERSON AVE,16.6,98,28932.0,Worship Facility,10.2,375.0,1957.0
9700 OWENSMOUTH AVE,65.6,Not Available,30000.0,Manufacturing/Industrial Plant,36.2,472.0,1978.0
825 COLORADO BLVD,95.2,91,54287.0,Office,29.0,2150.4,1974.0
12884 BRADLEY AVE,42.8,Not Available,39800.0,Manufacturing/Industrial Plant,17.7,285.1,1970.0
2221 S MAIN ST,17.8,Not Available,34427.0,Manufacturing/Industrial Plant,7.8,51.6,1958.0
6810 FOOTHILL BLVD,79.1,63,34290.0,Multifamily Housing,51.8,21.7,1988.0
14024 OXNARD ST,63,61,23070.0,Multifamily Housing,44.3,1220.8,1964.0
3729 CLARINGTON AVE,40.7,88,18000.0,Multifamily Housing,40.1,640.3,1958.0
8700 PERSHING DR,377.4,99.0,183174.0,Multifamily Housing,35.3,6646.3,2004.0
20341 HARVARD BLVD,95,95,40170.0,Multifamily Housing,41.2,2158.1,1985.0
3510 S CENTRAL AVE,14.2,79,32500.0,Non-Refrigerated Warehouse,6.6,35.9,1979.0
7909 TOPANGA CANYON BLVD,7.3,100,48868.0,Multifamily Housing,2.2,3433.9,1969.0
19040 W VANOWEN ST,358.3,Not Available,55206.0,Police Station,110.3,477.1,1990.0
7255 INDEPENDENCE AVE,139.1,71,56610.0,Multifamily Housing,43.3,4112.0,1985.0
1759 BELOIT AVE,121.1,85,46450.0,Multifamily Housing,43.5,3114.9,2009.0
10345 W PICO BLVD,66,Not Available,15000.0,Worship Facility,74.8,683.4,1951.0
3062 W 4TH ST,55.4,61,25925.0,Multifamily Housing,37.7,1455.0,1988.0
7810 TOPANGA CANYON BLVD,57.9,100,55500.0,Multifamily Housing,16.4,1727.3,1983.0
5245 WHITSETT AVE,65.4,67,21799.0,Multifamily Housing,54.5,1619.5,1957.0
12320 BURBANK BLVD,81.2,73,51872.0,Multifamily Housing,26.3,1812.5,1964.0
6434 YUCCA ST,57.3,94,27032.0,Multifamily Housing,35.8,4.6,1923.0
18107 SHERMAN WAY,23.3,97,20900.0,Office,17.3,89.8,1960.0
940 N ARDMORE AVE,48.1,74,23191.0,Multifamily Housing,36.7,893.2,1987.0
17950 BURBANK BLVD,91.3,68,34914.0,Multifamily Housing,43.5,2319.7,1964.0
1480 VINE ST,529.7,1.0,130783.0,Multifamily Housing,59.4,2854.6,1961.0
5266 CORTEEN PL,61.2,74,32018.0,Multifamily Housing,33.3,1029.3,1972.0
9400 LA TIJERA BLVD,260.3,99.0,137907.0,Multifamily Housing,30.4,3981.1,1987.0
8900 S SEPULVEDA BLVD,192.1,2,25312.0,Retail Store,115.5,470.5,1999.0
7135 N WILBUR AVE,182.9,72,68427.0,Multifamily Housing,42.6,4006.6,2012.0
428 N HAYWORTH AVE,23.2,Not Available,30916.0,Multifamily Housing,13.7,1440.5,1965.0
22020 CLARENDON ST,68.3,66,26616.0,Office,38.7,219.9,1989.0
2250 E 111TH ST,105.1,95,60931.0,Multifamily Housing,24.7,4054.4,2003.0
9171 OSO AVE,203.3,Not Available,65560.0,Manufacturing/Industrial Plant,51.3,1274.7,1980.0
21530 GLEDHILL ST,49.8,60,36502.0,Non-Refrigerated Warehouse,19.2,646.3,1988.0
8363 RESEDA BLVD,23.4,Not Available,25760.0,Strip Mall,14.2,1189.2,1980.0
12215 VICTORY BLVD,208.2,Not Available,98000.0,College/University,32.2,814.6,1958.0
21350 PARTHENIA ST,74.9,61.0,20852.0,Multifamily Housing,61.7,1524.0,1988.0
10767 ROSE AVE,69.2,93,26110.0,Multifamily Housing,48.1,1057.7,1957.0
8750 TAMPA AVE,149.3,18,31958.0,Wholesale Club/Supercenter,70.5,472.8,1974.0
6500 YUCCA ST,189.3,82,93635.0,Multifamily Housing,35.3,2635.9,1928.0
616 S ST PAUL AVE,627.8,68,254608.0,Multifamily Housing,42.2,8886.9,2011.0
13336 PAXTON ST,871,Not Available,27000.0,Manufacturing/Industrial Plant,580.8,1419.1,1984.0
915 E 4TH ST,7.6,Not Available,23520.0,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",4.9,50.1,1922.0
9400 LA TIJERA BLVD,516.0,98.0,278304.0,Multifamily Housing,29.9,7961.5,1987.0
3675 CLARINGTON AVE,40.9,Not Available,21660.0,Multifamily Housing,33.5,640.3,1980.0
19926 ROSCOE BLVD,85.5,70,28910.0,Multifamily Housing,53.4,2322.7,1963.0
6611 HASKELL AVE,128.2,Not Available,38081.0,Multifamily Housing,57.7,3046.8,1980.0
