YEAR BUILT,TOTAL WATER USE (kgal),PROPERTY TYPE,POSTAL CODE,OUTDOOR WATER USE (kgal),NUMBER OF BUILDINGS,INDOOR WATER USE (kgal),GROSS BUILDING FLOOR AREA (ft²)
1994.0,1341.2,Manufacturing/Industrial Plant,91342,1125.4,1.0,215.8,32114.0
1950.0,1821.9,Office,90094,1532.5,1.0,289.4,37463.0
2007.0,1800.4,Other,91607,277,1.0,1523.4,28906.0
1953.0,1770.3,Worship Facility,90045,1711.1,2.0,59.2,25819.0
1953.0,1761.5,Worship Facility,90045,1739.5,2.0,22,25819.0
1971.0,7446.4,Office,90036,1273.2,1.0,6173.2,502495.0
1971.0,8930.0,Office,90036,1186.4,1.0,7743.6,502495.0
1928.0,3252.8,Multifamily Housing,90068,366.7,1.0,2886.1,81883.0
1963.0,2279.1,Multifamily Housing,90018,1180.9,1.0,1098.2,24016.0
1981.0,1253,Office,91604,387.9,1.0,865,72021.0
2013.0,719.6,Distribution Center,90502,563.3,1.0,156.3,142053.0
1985.0,641.4,Parking,91405,0.0,1.0,641.4,134520.0
1950.0,2495,Office,90094,2354.8,1.0,140.1,37059.0
1950.0,533.4,Office,90094,357.7,1.0,175.7,37463.0
2006.0,6501.2,Multifamily Housing,90024,511.9,1.0,5989.3,333396.0
1973.0,1328.1,Office,90066,287.6,1.0,1040.6,131942.0
1942.0,1426.6,Office,90094,1012.8,1.0,413.8,68666.0
1942.0,1536.4,Office,90094,1063.4,1.0,472.9,85832.0
2010.0,610657.6,Multifamily Housing,91423,89.7,1.0,1512.9,48318.0
2006.0,7598,Multifamily Housing,90024,485.2,1.0,7112.8,333396.0
1983.0,20757.0,Mixed Use Property,90017,315.0,1.0,20442.1,769933.0
1984.0,1750.6,Manufacturing/Industrial Plant,91311,215.6,1.0,1535,89748.0
1973.0,1048.4,Office,90066,466.4,1.0,582,131942.0
1942.0,1222.0,Office,90094,819.6,1.0,402.5,85832.0
1989.0,1267.7,Non-Refrigerated Warehouse,91342,674.6,1.0,593.1,157000.0
2000.0,602.7,Museum,91342,533.1,4.0,69.6,57615.0
2000.0,502.7,Museum,91342,428.9,4.0,73.8,57615.0
2007.0,1868.9,Other,91607,424.7,1.0,1444.2,28906.0
1998.0,19296.3,Refrigerated Warehouse,91406,574.8,1.0,18721.5,129469.0
1991.0,15886.3,Hotel,90048,653.3,1.0,15233.0,535226.0
1998.0,6912.2,Office,90012,3111.8,1.0,3800.4,541704.0
1998.0,2250.9,Distribution Center,91406,727.9,1.0,1523,116695.0
1997.0,3411.9,Parking,90049,2364.6,1.0,1047.3,441774.0
1981.0,1720.3,Office,91604,550.6,1.0,1169.7,72021.0
2001.0,2932.9,Worship Facility,90016,2438.1,1.0,494.8,108883.0
1997.0,903.6,Museum,90049,500.4,1.0,403.2,22566.0
2010.0,4450.7,Parking,90094,1094.6,1.0,3356.1,11400.0
2009.0,1166.9,Multifamily Housing,90293,309.8,1.0,857.1,26695.0
2009.0,554.6,Distribution Center,90031,276.9,1.0,277.6,150099.0
2010.0,3806.2,Parking,90094,1100.9,1.0,2705.3,11400.0
2009.0,2703.7,Distribution Center,90023,1213.8,0.0,1489.9,107806.0
2009.0,1114.3,Multifamily Housing,90293,296.2,1.0,818.2,26695.0
2010.0,2051.3,Office,90094,246.4,1.0,1804.9,132431.0
2010.0,2259.8,Office,90094,582.4,1.0,1677.4,132431.0
2010.0,2579.0,Parking,90094,279.8,1.0,2299.3,138938.0
2009.0,2589.4,Distribution Center,90023,1145.0,0.0,1444.4,107806.0
2010.0,2976.5,Parking,90094,206.1,1.0,2770.4,138938.0
1984.0,1945.2,Manufacturing/Industrial Plant,91311,146.2,1.0,1799,89748.0
2009.0,2517.6,Distribution Center,90023,918.6,0.0,1599.0,107806.0
1977.0,7765.1,Manufacturing/Industrial Plant,90502,3003.9,1.0,4761.2,275000.0
2002.0,1173.8,Non-Refrigerated Warehouse,91352,672.1,1.0,501.7,138500.0
2001.0,73,Parking,90016,18.2,1.0,54.8,176295.0
1979.0,7131.5,Office,91367,4157.2,1.0,2974.3,273570.0
1971.0,4566.6,Office,90036,589.6,1.0,3976.9,452763.0
1979.0,4947.6,Office,91367,3336,1.0,1611.6,273570.0
1998.0,2172.3,Distribution Center,91406,680,1.0,1492.4,116695.0
1951.0,1741.9,Office,90048,52.4,1.0,1689.5,136947.0
2002.0,938.4,Non-Refrigerated Warehouse,91352,429.9,1.0,508.4,138500.0
1997.0,78310.1,Museum,90049,17196.0,6.0,24075.2,1215400.0
2017.0,4025.5,Residential Care Facility,91335,698.3,1.0,3327.2,212000.0
1999.0,4360.4,Office,91304,1927.0,1.0,2433.4,160681.0
1986.0,6561.3,Office,91364,2472.0,1.0,4089.3,162741.0
1992.0,5054.1,Office,90036,685.1,1.0,2310.4,188169.0
1966.0,101.6,Non-Refrigerated Warehouse,90065,25.4,8.0,76.2,100500.0
2002.0,996.5,Non-Refrigerated Warehouse,91352,552.6,1.0,443.9,138500.0
2007.0,23899.1,Multifamily Housing,91303,3372.2,5.0,20526.9,513976.0
1979.0,5125.4,Office,91367,3889.7,1.0,1235.8,273570.0
1979.0,7215.0,Office,91367,4318.4,1.0,2896.6,273570.0
1956.0,2287.5,Worship Facility,90024,1769.6,0.0,517.9,31535.0
2008.0,220.3,Self-Storage Facility,90064,28.8,1.0,191.5,121316.0
1981.0,652.4,Office,90067,578.8,1.0,73.6,904927.0
1997.0,2911.4,Museum,90049,2471.6,1.0,439.9,22566.0
1973.0,856.2,Office,90066,418,1.0,438.2,131942.0
2001.0,4820.1,Senior Care Community,90068,412.2,1.0,4407.9,97500.0
1982.0,16800.0,Office,90071,4638.4,1.0,8860.1,704731.0
2002.0,1066.7,Non-Refrigerated Warehouse,91352,528.1,1.0,538.6,138500.0
1989.0,1560,Mixed Use Property,91342,513.2,1.0,1046.8,157000.0
1984.0,1790.3,Manufacturing/Industrial Plant,91311,183.5,1.0,1606.8,89748.0
1998.0,2161.7,Distribution Center,91406,648.0,1.0,1513.6,116695.0
1951.0,2292.8,Office,90048,392.0,1.0,1900.8,136947.0
1999.0,4129.2,Office,91304,1636.0,1.0,2493.2,133720.0
2017.0,3255.6,Residential Care Facility,91335,54.7,1.0,3200.9,212000.0
2001.0,1386.1,Distribution Center,90501,423.4,1.0,962.7,120285.0
1980.0,1627.8,Non-Refrigerated Warehouse,90502,1041.4,1.0,586.4,129656.0
1927.0,365.9,Worship Facility,90005,32.1,1.0,333.9,109016.0
1979.0,4079.3,Office,91367,2536.4,1.0,1542.9,273570.0
1972.0,4197.3,Office,90017,1339.0,1.0,2858.3,249008.0
1998.0,8146.5,Office,90012,1712.7,1.0,6433.9,541704.0
1997.0,4504.8,Parking,90049,3782.9,1.0,721.9,441774.0
2013.0,4792.3,Multifamily Housing,91602,1032.5,2.0,3759.8,147000.0
1999.0,4832.5,Office,91304,2131.9,1.0,2700.5,133720.0
1992.0,16045.0,Residential Care Facility,91345,6899.7,1.0,9145.4,147310.0
2000.0,582.0,Museum,91342,514.7,4.0,67.3,57615.0
2005.0,15234.8,Medical Office,91304,1927.7,1.0,13307.1,160740.0
2013.0,2781.5,Other - Lodging/Residential,90005,248.9,1.0,2532.6,23000.0
1973.0,931.2,Manufacturing/Industrial Plant,91311,3.2,1.0,927.9,121146.0
2017.0,3390.3,Residential Care Facility,91335,743.3,1.0,2646.9,212000.0
2013.0,405.6,Distribution Center,90502,265.2,1.0,140.4,164553.0
2001.0,2147.6,Worship Facility,90016,1734.9,1.0,412.7,108883.0
1965.0,5381.3,Multifamily Housing,91343,2630.8,1.0,2750.5,59495.0
2007.0,1858.0,Office,90044,160.5,1.0,1697.5,210000.0
1992.0,5544.0,Office,90036,847.2,1.0,2475.7,188169.0
1992.0,18666.8,Residential Care Facility,91345,4444.1,1.0,14222.7,147310.0
1951.0,12698.5,Other - Mall,90024,84.2,1.0,6567.1,202202.0
1985.0,750.7,Parking,91405,0.0,1.0,750.7,134520.0
2007.0,2254.3,Other,91607,1171.3,1.0,1083,28906.0
1999.0,5027.7,Office,91304,1922.5,1.0,3105.2,160498.0
1957.0,847.7,Worship Facility,91352,286.9,11.0,560.8,163437.0
2006.0,11773.5,Senior Living Community,91356,799.2,1.0,5487.1,131897.0
2003.0,4479.1,Senior Care Community,91403,471.9,1.0,4007.2,93604.0
1950.0,533.4,Office,90094,357.7,1.0,175.7,37463.0
2001.0,9059.9,Multifamily Housing,90024,935.4,1.0,8124.4,220767.0
