YEAR BUILT,TOTAL WATER USE (kgal),PROPERTY TYPE,POSTAL CODE,OUTDOOR WATER USE (kgal),NUMBER OF BUILDINGS,INDOOR WATER USE (kgal),GROSS BUILDING FLOOR AREA (ft²)
,,,91405,,,,
2001.0,2859.8,Multifamily Housing,90037,Not Available,1.0,Not Available,44769.0
1975.0,1052.3,Office,90064,Not Available,1.0,Not Available,84850.0
2010.0,1.6,Multifamily Housing,91601,Not Available,1.0,Not Available,31030.0
2007.0,244.3,Manufacturing/Industrial Plant,90058,Not Available,1.0,Not Available,65000.0
1961.0,837.1,Multifamily Housing,90046,Not Available,1.0,Not Available,27777.0
,,,91364,,,,
1960.0,1303.9,Multifamily Housing,90025,Not Available,1.0,Not Available,30095.0
2001.0,24933.6,Lifestyle Center,90028,Not Available,6.0,Not Available,462117.0
1985.0,531.1,Office,90024,Not Available,1.0,531.1,36065.0
1998.0,1201.4,Multifamily Housing,90003,Not Available,1.0,Not Available,30214.0
1971.0,692.7,Multifamily Housing,90034,Not Available,1.0,Not Available,24000.0
1988.0,1757.2,Multifamily Housing,91303,Not Available,1.0,Not Available,34246.0
1960.0,2311.5,Multifamily Housing,91335,Not Available,2.0,Not Available,41944.0
1968.0,292.5,Non-Refrigerated Warehouse,90021,Not Available,1.0,Not Available,55611.0
1929.0,2241.9,Multifamily Housing,90017,Not Available,1.0,Not Available,20588.0
,,,91405,,,,
1971.0,3885.4,Multifamily Housing,91324,Not Available,2.0,Not Available,62437.0
1960.0,1909.8,Multifamily Housing,91401,Not Available,1.0,Not Available,21336.0
1973.0,6286.9,Other - Services,91406,Not Available,1.0,Not Available,10443.0
1965.0,65.8,Mixed Use Property,90023,Not Available,1.0,Not Available,47490.0
1915.0,3.4,Multifamily Housing,90026,Not Available,1.0,Not Available,37446.0
1972.0,196.7,Other,91605,Not Available,1.0,Not Available,36000.0
1977.0,Not Available,Office,90049,Not Available,1.0,Not Available,105000.0
1963.0,589.5,Office,90017,Not Available,1.0,Not Available,32000.0
,,,90012,,,,
,,,90026,,,,
,,,90023,,,,
2013.0,4917.7,Multifamily Housing,90028,Not Available,1.0,Not Available,121379.0
1926.0,2.5,Multifamily Housing,90020,Not Available,1.0,Not Available,46144.0
1990.0,1230.5,Multifamily Housing,90034,Not Available,1.0,Not Available,31665.0
,,,90028,,,,
2015.0,1656.7,Multifamily Housing,91316,Not Available,1.0,Not Available,56466.0
1957.0,375,Worship Facility,90045,Not Available,1.0,Not Available,28932.0
1978.0,472,Manufacturing/Industrial Plant,91311,Not Available,1.0,Not Available,30000.0
,,,91352,,,,
1974.0,2150.4,Office,90041,Not Available,1.0,Not Available,54287.0
1970.0,285.1,Manufacturing/Industrial Plant,91342,Not Available,1.0,285.1,39800.0
1958.0,51.6,Manufacturing/Industrial Plant,90007,Not Available,1.0,Not Available,34427.0
1988.0,21.7,Multifamily Housing,91042,Not Available,1.0,Not Available,34290.0
1966.0,Not Available,Office,91367,Not Available,1.0,Not Available,162659.0
,,,90003,,,,
1964.0,1220.8,Multifamily Housing,91401,Not Available,1.0,Not Available,23070.0
1958.0,640.3,Multifamily Housing,90034,Not Available,1.0,Not Available,18000.0
,,,90029,,,,
2004.0,6646.3,Multifamily Housing,90293,Not Available,1.0,Not Available,183174.0
,,,90035,,,,
1985.0,2158.1,Multifamily Housing,90501,Not Available,1.0,Not Available,40170.0
1979.0,35.9,Non-Refrigerated Warehouse,90011,Not Available,1.0,Not Available,32500.0
1969.0,3433.9,Multifamily Housing,91304,Not Available,1.0,3433.9,48868.0
,,,91335,,,,
,,,90272,,,,
,,,90057,,,,
1990.0,477.1,Police Station,91335,Not Available,1.0,Not Available,55206.0
,,,91602,,,,
,,,90064,,,,
1985.0,4112,Multifamily Housing,91303,Not Available,1.0,Not Available,56610.0
,,,91324,,,,
,,,90049,,,,
2009.0,3114.9,Multifamily Housing,90025,Not Available,1.0,Not Available,46450.0
1951.0,683.4,Worship Facility,90064,Not Available,3.0,Not Available,15000.0
1988.0,1455,Multifamily Housing,90020,Not Available,1.0,Not Available,25925.0
1983.0,1727.3,Multifamily Housing,91304,Not Available,1.0,Not Available,55500.0
1957.0,1619.5,Multifamily Housing,91607,Not Available,1.0,Not Available,21799.0
1964.0,1812.5,Multifamily Housing,91607,Not Available,1.0,Not Available,51872.0
1923.0,4.6,Multifamily Housing,90028,Not Available,1.0,Not Available,27032.0
,,,90021,,,,
1960.0,89.8,Office,91335,Not Available,1.0,Not Available,20900.0
1987.0,893.2,Multifamily Housing,90029,Not Available,1.0,Not Available,23191.0
1964.0,2319.7,Multifamily Housing,91316,Not Available,1.0,Not Available,34914.0
